id_cliente,nome,cognome,eta_cliente,numero_transazioni_entrata,numero_transazioni_uscita,somma_totale_entrate,somma_totale_uscite,numero_conti_tipo_0,numero_conti_tipo_1,numero_conti_tipo_2,numero_conti_tipo_3,importo_uscite_tipo_0,importo_uscite_tipo_1,importo_uscite_tipo_2,importo_uscite_tipo_3,importo_entrate_tipo_0,importo_entrate_tipo_1,importo_entrate_tipo_2,importo_entrate_tipo_3
0,Giada,Romano,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,Stefano,Rossi,58,7,54,536.9055370975808,-4742.71131756006,0,0,1,0,0,0,-4742.71131756006,0,0,0,536.9055370975808,0
2,Giada,Bruno,54,16,103,1356.591619908693,-7843.073917001674,1,0,1,0,-3944.216518491026,0,-3898.8573985106514,0,877.5368929876283,0,479.0547269210649,0
3,Simone,Russo,62,15,109,1484.3726195637169,-11312.4287953566,1,1,0,0,-6120.119503193069,-5192.3092921635325,0,0,345.62434816880153,1138.7482713949153,0,0
4,Maria,Gallo,39,4,47,747.3720904098836,-4516.8524218037455,0,0,0,1,0,0,0,-4516.8524218037455,0,0,0,747.3720904098836
5,Simona,Mancini,37,27,95,2255.788933444574,-6584.686715879588,1,0,1,0,-3495.671320192069,0,-3089.015395687521,0,607.5519807649662,0,1648.2369526796085,0
6,Stefano,Barbieri,60,13,44,1224.7052097244255,-3705.4617139212955,0,0,1,0,0,0,-3705.4617139212955,0,0,0,1224.7052097244255,0
7,Luigi,Conti,39,14,54,1008.7804742434557,-5384.388568826795,0,0,1,0,0,0,-5384.388568826795,0,0,0,1008.7804742434557,0
8,Stefania,Ferrari,28,7,37,531.4513496113045,-2833.4857733596145,0,0,1,0,0,0,-2833.4857733596145,0,0,0,531.4513496113045,0
9,Stefania,Lombardi,65,6,57,252.59850397380023,-4083.9002664229633,0,1,0,0,0,-4083.9002664229633,0,0,0,252.59850397380023,0,0
10,Mario,Barbieri,63,19,97,2446.569769443384,-7606.371356292119,1,0,0,1,-4164.8284967604095,0,0,-3441.54285953171,688.8627373735228,0,0,1757.7070320698608
11,Luigi,Bianchi,32,85,376,6491.240820617846,-29874.71303224747,2,1,0,5,-7160.360800251773,-2838.01258195559,0,-19876.339650040085,1522.5304439080578,828.8775641848841,0,4139.8328125249045
12,Stefano,Martinelli,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Stefano,Conti,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Stefania,Colombo,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,Mario,Romano,59,25,159,2083.357534708008,-14137.634700241786,2,0,0,1,-11111.988297826145,0,0,-3025.6464024156494,1596.2919782857161,0,0,487.06555642229216
16,Simone,Barbieri,36,43,183,3126.6436031901158,-15026.2108891878,0,0,1,3,0,0,-4480.087501006381,-10546.123388181419,0,0,950.1740631236032,2176.4695400665123
17,Stefania,Bianchi,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,Simona,Fontana,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
